french,fongbe
La transmission du savoir est un acte d'amour par lequel nous tendons un fil entre le passé et l'avenir.,Nùnywɛ ɖiɖe ɖ’ayǐ nyí wanyiyi sín nǔwiwa ɖé bɔ mǐ nɔ gbɔn jí bo nɔ dɔn kàn ɖé ɖó hwenu e wá yì é kpo sɔgudo kpo tɛntin.
La plus grande leçon de sagesse est peut-être d'apprendre à reconnaître l'immensité de ce que nous ignorons.,Vlafo nǔkplɔnmɛ nǔnywɛ tɔn ɖaxó hugǎn ɔ wɛ nyí ɖɔ mǐ ni kplɔ́n bo tuùn lee nǔ e mǐ ma tuùn ǎ lɛ é syɛn sɔ́ é.
Une société qui néglige sa culture est comme un navigateur qui brûlerait sa carte pour se chauffer une nuit d'hiver.,Gbɛ̌ta e ma nɔ ɖó ayi aca tɔn lɛ wu ǎ é cí tɔjihunkúntɔ́ e na dó ɖiɖe tò tɔn zo bo na dó xɔ zo ɖò avivɔ hwenu zǎnmɛ é ɖɔhun.
"La philosophie n'enseigne pas à vivre, mais elle nous apprend à examiner la vie avec un regard lucide et émerveillé.","Nǔnywɛ xwitixwiti nɔ kplɔ́n lee mǐ na nɔ gbɛ̀ gbɔn é mǐ ǎ, loɔ, é nɔ kplɔ́n mǐ ɖɔ mǐ ni gbéjé gbɛzán ɔ kpɔ́n kpo nukún e ɖò wɛn bo gɔ́ nú nǔjiwǔ é kpo."
Les grandes œuvres littéraires sont des fenêtres ouvertes sur l'infini des possibilités de la condition humaine.,Nǔwlanwlán ɖaxó ɖaxó lɛ nyí flɛtɛli e hun nú nǔ e ma ɖó dogbó ǎ bɔ ninɔmɛ gbɛtɔ́ tɔn sixu jɛ lɛ é.
La sagesse commence quand nous acceptons que certaines questions sont plus précieuses que toutes les réponses.,Nǔnywɛ nɔ bɛ́ hwenu e mǐ yí gbè ɖɔ nǔkanbyɔ ɖé lɛ xɔ akwɛ hú xósin lɛ bǐ é.
La diversité culturelle est la symphonie magnifique que l'humanité joue depuis la nuit des temps sur sa harpe intérieure.,Akɔta vovo lɛ wɛ nyí han ɖagbeɖagbe e gbɛtɔ́ lɛ ɖò xixo wɛ sín hwenu e è ko ɖò jiji wɛ é ɖò hanjiji yetɔn e ɖò xomɛ é jí é.
L'art nous apprend à voir ce que nos regards pressés ne font que survoler sans jamais véritablement rencontrer.,Nǔɖiɖó lɛ nɔ kplɔ́n mǐ ɖɔ mǐ ni nɔ mɔ nǔ e nukún mǐtɔn e ɖò wezun jí é nɔ kpɔ́n kpowun bo ma ka nɔ mɔ nǔgbo nǔgbo kpɔ́n ǎ é.
Un peuple vivant est celui qui danse avec ses traditions tout en gardant les yeux ouverts sur l'horizon du monde.,"Togun gbɛɖe wɛ nyi mɛ e nɔ ɖu we kpodo akɔta tɔn lɛ kpo, bo nɔ hɛn nukún tɔn lɛ hun bo nɔ kpɔ́n gbɛ ɔ sín jǐ é."
La mémoire collective est un jardin fragile qu'il faut arroser chaque jour du récit de nos origines communes.,"Flínflín kplékplé ɔ, jikpá ɖé wɛ bo ɖò fɛ́ɖɛ́fɛ́ɖɛ́, bɔ è ɖó na nɔ kɔn sìn dó jí ayihɔngbe ayihɔngbe kpo tan fí e mǐ gosin é tɔn kpo."
Le théâtre est le lieu sacré où la société peut se regarder elle-même dans le miroir sans crainte de son reflet.,"Tɛn mímɛ́ e mɛ gbɛtɔ́ lɛ sixu kpɔ́n yeɖée ɖè ɖò nukpɛn mɛ, bo ma na ɖi xɛsi nú ɖiɖe tɔn ǎ é wɛ nyí tɛn mímɛ́ e mɛ è nɔ xò nǔ kpɔ́n ɖè é."
"La culture générale n'est pas un ornement, mais la boussole indispensable pour s'orienter dans le labyrinthe du monde.","Nǔnywɛ ɖaxó ɖaxó lɛ nyí acɔ́nú ɖé ǎ, loɔ, é nyí kɔ́ntu e ɖò dandan bo na dó sixu ɖi zɔnlin gbɔn gbɛ̀ ɔ sín kɔ́xota lɛ é."
Veuillez impérativement éteindre vos téléphones portables avant que la représentation théâtrale ne commence dans la grande salle.,Mi kɛnklɛn bo hɛn dó ayi mɛ ɖɔ mi na sú alokan mitɔn lɛ cobɔ nǔwiwa xóɖiɖɔ tɔn ɔ na bɛ́ ɖò kpléxɔ ɖaxó ɔ mɛ.
"Pour accéder au dossier partagé, vous devez d'abord vous connecter avec vos identifiants personnels sur le serveur principal.","Bo na dó sixu mɔ folder e è má é ɔ, a ɖó na jɛ nukɔn bo na byɔ serveur taji ɔ jí kpo nǔ e a nɔ zán lɛ é kpo."
N'oubliez surtout pas d'éteindre la lumière et de verrouiller la porte d'entrée derrière vous en quittant le bureau.,Ma wɔn bo cí zogbɛ́n ɔ bo sú hɔn nukɔntɔn ɔ dó gudo towe hwenu e a na ɖò azɔ̌xɔsa ɔ tɔ́n sín wɛ é ó.
"Ajoutez une pincée de sel fin dans la préparation, puis mélangez délicatement la pâte à l'aide d'une spatule en bois.","Dò jɛ̌ ɖagbeɖagbe kpɛɖé dó nǔ e è ɖa é mɛ, enɛ gudo hǔn, zé atínkɛ́n ɖé dó dan wɔxúxú ɔ na bléblé."
Il serait préférable que vous lisiez attentivement le manuel d'instructions avant de tenter d'utiliser cette machine pour la première fois.,É na nyɔ́ hugǎn ɖɔ a ni xà wema e mɛ è na zán macinu ɔ ɖè é ganji cobo tɛ́n kpɔ́n bo zán macinu enɛ azɔn nukɔntɔn ɔ.
Pourriez-vous s'il vous plaît me passer le rapport financier dès que vous aurez un moment de libre cet après-midi ?,A ka sixu sɛ́ akwɛzinzan ɔ dó mì tlolo e a ɖó hwenu ɖé ɖò hwelɛkɔ elɔ é à?
es yeux d’un bleu si pâle qu’ils paraissaient presque transparents captaient la lumière comme deux éclats de glace polis.,Nukún tɔn e ɖò blɔ fɛ́ɖɛ́fɛ́ɖɛ́ bo ɖibla cí nǔ e ɖò wěxo é ɖɔhun lɛ é wlí weziza ɔ laglasi fɛ́n we e è kɔ́n é ɖɔhun.
"Le brouillard enveloppait la vallée d’un voile cotonneux, étouffant chaque son et gommant les contours du paysage.","Ahún ɔ cyɔn tɔdo ɔ kpo avɔ e è sɔ́ avɔkanfún dó bló é ɖé kpo, bo nɔ sú gbè lɛ bǐ dó, lobo nɔ lɛ́ bló bɔ è nɔ mɔ nǔ jɛ fí e ayikúngban ɔ ɖè é wu ǎ."
"Son sourire hésitant, à peine esquissé, semblait craindre de s’épanouir pleinement par pudeur ou par tristesse.",É cí ɖɔ nukiko tɔn e ɖò xɛsi ɖi wɛ bo ma ɖò ɖiɖexlɛ́ wɛ ǎ é ɖò xɛsi ɖi wɛ ɖɔ é na tɔ́n bǐ mlɛ́mlɛ́ ɖó jlɛjininɔ alǒ aluwɛ mɛ wutu ɖɔhun.
"La place du village, bordée de platanes centenaires, sentait bon le pain chaud et les feuilles mouillées.","Gletoxo ɔ sín kɔ́xota, bɔ atín e nɔ nyí plane bo ko ɖó xwè kanweko lɛ é ɖò finɛ, bɔ wɔxúxú zozo kpo ama e fá lɛ é kpo sín wǎn nɔ nyɔ́ sè."
"Son rire franc et sonore cascadait soudain, illuminant son visage grave et brisant la glace autour de lui.","Nǔkiko tɔn e ɖò wɛn bo nɔ lɛ́ syɛn é wá j’ayǐ ajijimɛ ɔ, bo kɔ́n nukúnmɛ tɔn e ɖò syɛnsyɛn wɛ é, lobo gbà laglasi e lɛlɛ̌ dó è é."
"Les toits de la vieille ville, couverts d’ardoises luisantes de pluie, montaient à l’assaut de la colline.","Toxo xóxó ɔ sín xɔta lɛ, bɔ è sɔ́ kɔ́ e ɖò xixo wɛ ɖó jǐ wu lɛ é dó cyɔn ye jí, bo ɖò só ɔ jí yì wɛ."
"Ses mains, parcourues de fines veines bleues et de taches brunes, racontaient une vie de labeur patient.",Alɔ tɔn lɛ e mɛ kan ɖagbeɖagbe blɔɖó lɛ kpo ɖiɖe kɔ́lu lɛ kpo ɖè é ɖɔ gbɛzán azɔ̌wiwa suúlu tɔn ɖé tɔn.
Le vent d’automne arrachait aux tilleuls une dernière pluie de feuilles d’or qui dansaient follement.,"Jɔhɔn e nɔ ja ɖò jǐ hwenu é fɛ́n ama siká tɔn gudogudo tɔn ɖé sín atín e nɔ nyí linden lɛ é jí, bɔ ye ɖò we ɖu wɛ syɛnsyɛn."
"Il avait cette démarche particulière, à la fois nonchalante et déterminée, qui forçait l’attention sans la chercher.","É ɖó zɔnlin enɛ tawun, bo nɔ xò nǔ kpɔ́n ǎ, bo nɔ lɛ́ kánɖeji, bɔ enɛ nɔ dɔn ayi mɛ lɛ tɔn wá nǔ jí, bo nɔ ba ǎ."
"La bibliothèque sentait le vieux papier et la cire, un silence feutré bercé par le tic-tac lointain d’une horloge.","Wema xóxó lɛ kpo jɛ̌ kpo sín wǎn nɔ hwɛ́n wemaxɔ ɔ mɛ, bɔ gan e ɖò xixo wɛ ɖò zɔ é nɔ cí cícící ɖé mɛ."
"Ses silences étaient lourds de mots retenus, comme un fleuve gelé dont on devine la force prisonnière.","Xó e è ma ɖɔ ǎ lɛ é wɛ nɔ gɔ́ xó e é nɔ cí abwɛ lɛ é mɛ, bo nɔ cí tɔsisa e mɛ jɔhɔn syɛnsyɛn ɖè bɔ è sixu mɔ hlɔnhlɔn e ɖò gankpá mɛ é ɖɔhun."
"Le café du port, avec ses vitres embuées et ses banquettes de velours rouge, résistait au temps.","Kafɛ́ e ɖò tɔjihunglintɛn ɔ é, kpo flɛtɛli tɔn e mɛ ahún ɖè lɛ é kpo, kpodo agɔ̌ e è sɔ́ velours vɔvɔ dó bló na lɛ é kpo ɖí xwi xá tɛnkpɔn hwenu tɔn lɛ."
"Sa voix grave, légèrement voilée, enveloppait chaque mot d’une chaleur calme et rassurante.",Gbè tɔn gɔngɔn e è cyɔn alɔ jí kpɛɖé é nɔ gɔ́ xókwín ɖokpo ɖokpo mɛ kpo wanyiyi e nɔ na jiɖe mɛ é ɖé kpo.
"Les glycines centenaires, torsadées comme des ceps de vigne, ourlaient la façade de leurs grappes mauves.","Wisteria e ko ɖó xwè kanweko mɔkpan, bo cí vǐwuntín sín hwǐn ɖɔhun lɛ é nɔ tɛ́ dó nukɔn ɔ wu kpo hwǐn yetɔn e nɔ cí vɔvɔ ɖɔhun lɛ é kpo."
"Elle écrivait penchée sur son bureau, le front soucieux, mordillant distraitement le capuchon de son stylo.","É ɖò nǔ wlan wɛ bo kɔ́n ɖò tavo tɔn jí, bɔ nukúnmɛ tɔn ɖò xixo wɛ ɖó adohu adohu wutu, bo ɖò wětín akánnɔ tɔn sín nusú ɖu wɛ ɖò ayi mɛ ǎ."
L’odeur de résine et de sous-bois humide montait de la forêt de pins noirs.,Wǎn e è nɔ sè ɖò zunkan e mɛ è nɔ mɔ atín e nɔ nyí pin wiwi é ɖè é mɛ é nɔ tɔ́n sín atín e ɖò dò lɛ é kpo atín e ɖò dò lɛ é kpo mɛ.
"Son regard fuyait sans cesse, cherchant obstinément une porte de sortie dans toute conversation un peu longue.","Nukún tɔn lɛ nɔ ɖò yiyi wɛ hwebǐnu, bo nɔ ɖò ali e nu é na hɔn gbɔn é ba wɛ kpo taɖunɔ kpo ɖò xóɖɔɖókpɔ́ ɖebǔ e nɔ dɔn mɛ kpɛɖé é mɛ."
"Le marché grouillait de cris, de couleurs et de senteurs mêlées sous le soleil pâle de décembre.","Axi ɔ gɔ́ nú xósusu, sinmɛ kpo wǎn ɖagbeɖagbe lɛ kpo ɖò hwesivɔ Woosun tɔn e ɖò wěxo é glɔ́."
"Il écoutait en penchant la tête, les sourcils froncés, comme s’il déchiffrait une langue étrangère et précieuse.","É ɖò tó ɖó mɛ wɛ kpo ta kpo, bo ɖò nukúnmɛ tɔn lɛ xò wɛ, cí nǔ ɖɔ é ɖò gbè jonɔ e xɔ akwɛ é ɖé tín wɛ ɖɔhun."
"La neige fraîche habillait la ville d’un silence ouaté, étouffant les pas et les bruits mécaniques.","Laglasi yɔyɔ̌ ɔ bló bɔ toxo ɔ cí cícící, bɔ afɔɖiɖe lɛ kpo zǐngídi macinu tɔn lɛ kpo nɔ hɛn mɛ gló."
"Ses doigts fins et nerveux tambourinaient sur la table, trahissant une impatience que son visage masquait.","Alɔví tɔn kpɛví kpɛví e ɖò adohu adohu jí lɛ é ɖò xixo wɛ ɖò tavo ɔ jí, bo ɖò suúluɖiɖo e nukúnmɛ tɔn cyɔn é xlɛ́ wɛ."
Le chat roux dormait en rond sur le rebord de la fenêtre chauffée par le soleil.,Awǐi dotɛ tɔn ɔ ɖò amlɔ dɔ́ wɛ bo kɔ́n ɖò flɛtɛli ɔ nu bɔ hwesivɔ ɖò zozo wɛ.
"Elle portait ce manteau élimé aux coudes avec une élégance désuète, comme un uniforme de vie.","É dó awu ɖaxó enɛ, bɔ è nɔ dó ɖò abɔta, bo ɖó ɖɛkpɛ xóxó ɖé, ɖi awu ɖaxó ɖé ɖɔhun nú gbɛmɛ."
La rivière paresseuse dessinait des méandres argentés à travers la prairie inondée de lumière.,Tɔsisa fɔnlínnɔ ɔ gbɔn gbehan e mɛ weziza gɔ́ é sín ali e cí kpatagan ɖɔhun lɛ é jí.
"Son visage s’était figé, masque impassible derrière lequel on devinait pourtant la tempête intérieure.","Nukúnmɛ tɔn ko cí jɔhɔn ɖɔhun, é nyí nǔ e nɔ cyɔn alɔ jǐ tɔn bo nɔ hɛn nǔ gblé dó mɛ wu é ɖé, bɔ mɛɖé ka sixu sè jɔhɔn ɖaxó e ɖò xomɛ é ɖò gudo tɔn."
Les lampadaires allumaient un à un leurs halos orangés dans la pénombre bleutée du crépuscule.,Zogbɛ́n e ɖò ali ɔ jí lɛ é nɔ kɔ́n ɖokpo ɖokpo kpo weziza yetɔn e ɖò vɔvɔ é kpo ɖò zǎnzǎn tɛɛn.
"Il parlait avec ses mains, grands gestes amples qui semblaient sculpter l’air pour donner forme aux idées.","É nɔ ɖɔ xó kpo alɔ tɔn lɛ kpo, bo nɔ bló nǔwiwa ɖaxó ɖaxó e nɔ xò nǔ kpɔ́n lɛ é, bɔ é nɔ cí ɖɔ ye ɖò jɔhɔn ɔ xò wɛ bo na dó na linlin lɛ ɖiɖe ɖɔhun."
La vieille bâtisse de pierre gardait au creux de ses murs la fraîcheur des étés révolus.,Xɔ xóxó e è sɔ́ awinnya dó gbá é hɛn fífá e ɖò hwenu e è nɔ bló jɔhɔnmɛ é wá yì lɛ é ɖó dǒ tɔn lɛ mɛ.
"Ses cheveux gris, tressés en une longue natte fine, lui donnaient l’allure d’une magicienne tranquille.",Ɖa tɔn wiwi e è tɛ́ dó ɖa gaga ɖé mɛ é zɔ́n bɔ é cí azětɔ́ fífá ɖé ɖɔhun.
"La pluie fine tissait sur la mer un voile mouvant, estompant la ligne d’horizon jusqu’à la faire disparaître.","Jǐ ɖagbeɖagbe ɔ lɔn avɔ e ɖò yiyi wɛ é ɖé dó xù ɔ jí, bo bló bɔ è mɔ nǔ jɛ nǔ e ɖò jǐ é wu kaka bɔ é bú."
"ici 30 phrases descriptives en français, au format demandé :","Xógbe tinmɛ tɔn 30 ɖíe ɖò Flanségbe mɛ, ɖò alɔkpa e è byɔ é mɛ:"
"Le soleil couchant embrase l'horizon de teintes orangées et pourpres, annonçant une nuit étoilée et sereine.","Hwe e ɖò xɔ yi wɛ é nɔ kɔ́n kɔ́mɛ kpo sinmɛ vɔvɔ kpo vɔvɔ cɛ́cɛ́ kpo, bo nɔ xlɛ́ ɖɔ zǎn e mɛ sunví lɛ gɔ́ é kpo fífá kpo na tíìn."
"Cette vieille bastide provençale, avec ses volets bleus usés, dégage un charme authentique et une histoire séculaire.","Gleta Provence tɔn xóxó enɛ e è sɔ́ hɔnsúnú tɔn lɛ dó bló bɔ é ko gblé é nɔ ɖè ɖɛkpɛ nǔgbo ɖé tɔ́n, bo nɔ lɛ́ ɖó tan xwè kanweko mɔkpan tɔn."
"Son regard pétillant et son sourire franc illuminent son visage, trahissant une joie de vivre contagieuse et sincère.","Nukún tɔn e nɔ kɔ́n lɛ é kpo nukiko tɔn e ɖò wɛn é kpo nɔ kɔ́n ɖò nukúnmɛ tɔn jí, bo nɔ xlɛ́ awǎjijɛ gbɛmɛ tɔn e nɔ hɛn mɛ gble bo nɔ lɛ́ nyí nǔjɔnǔ é ɖé."
"La forêt en automne déploie un tapis de feuilles rouilles et dorées, crissant sous les pas des promeneurs silencieux.","Zùn ɔ ɖò jǐ hwenu ɔ, é nɔ hun kɔ́fu e mɛ è sɔ́ kɔ́fu kpo siká ama kpo dó bló é ɖé, bo nɔ ɖò xixo wɛ ɖò mɛ e ɖò zɔnlin ɖi wɛ bo ɖò cícící wɛ lɛ é sín afɔ glɔ́."
"Une délicieuse odeur de pain chaud et de cannelle s'échappe de la boulangerie, embaumant toute la rue animée.","Wɔ̌xúxú zozo kpo nyĭgwlě kpo sín wǎn víví ɖé nɔ tɔ́n sín wɔxúxúɖatɛn ɔ, bo nɔ gɔ́ ali e jí gbɛtɔ́ lɛ nɔ gbɔn é bǐ jí."
"Ce tableau abstrait, avec ses touches vives et ses formes tourmentées, provoque une émotion intense et complexe.","Sɛ́n enɛ e è ma nɔ mɔ nǔ jɛ wu ǎ é, kpo nǔ e è ɖ’alɔ wu bɔ ye ɖò wěxo lɛ é kpo, kpodo lee é nɔ dóya nú mɛ gbɔn é kpo nɔ fɔ́n linlin syɛnsyɛn ɖé dó ayi mɛ nú mɛ."
Le vieux port de Marseille s'éveille dans un ballet de bateaux de pêche et de mouettes criardes.,Tɔjihunglintɛn xóxó Marseille tɔn nɔ fɔ́n ɖò ballet hwevíwlítɔ́ lɛ kpo xɛví e ɖò xó sú wɛ lɛ é kpo tɔn mɛ.
"Sa voix grave et mélodieuse résonne dans la pièce, captivant l'attention de tous les invités.","Gbè tɔn e gɔ́ngɔ́n bo lɛ́ nyɔ́ ɖɛkpɛ é ɖò xixo wɛ ɖò xɔ ɔ mɛ, bo dɔn ayi jonɔ lɛ bǐ tɔn wá éɖée jí."
"Les montagnes enneigées se dressent fièrement, leurs pics acérés déchirant le ciel bleu azur.","Só e jí laglasi ɖè lɛ é nɔte kpo goyiyi kpo, bɔ ta yetɔn e xú lɛ é nɔ tɔ́n ɖò jinukúnsin e ɖò vɔvɔ é mɛ."
"Le chaton joueur s'acharne sur une pelote de laine, roulant et bondissant avec une grâce maladroite.","Awǐiví ayihunmlimlixotɔ́ ɔ yí wǎn nú bɔlu e è sɔ́ kàn dó bló é ɖé, bo ɖò xixo wɛ lobo ɖò xixo wɛ kpodo fɛ́nú e ma sɔgbe ǎ é kpo."
"Ce gâteau au chocolat, fondant et onctueux, est une véritable tentation pour les gourmands.",Chocolat-cake enɛ e gɔ́ngɔ́n bo lɛ́ cí kɔ́fu ɖɔhun é nyí mɛtɛnkpɔn ɖé tawun nú mɛ ɖěɖee nɔ yí wǎn nú nǔɖuɖu ɖagbe lɛ é.
"La place du village, ombragée par de grands platanes, est animée par le marché coloré du samedi matin.","Gletoxo ɔ sín kɔ́xota e jí atín ɖaxó ɖaxó e nɔ nyí plane é ɖè é ɖò yǒzo mɛ, bɔ axi e mɛ è nɔ sà nǔ ɖè ɖò Samedi zǎnzǎn é nɔ ɖó sinmɛ vovo lɛ."
Son regard doux et sa voix posée inspirent immédiatement la confiance et apaise les esprits les plus tourmentés.,"Nukúnmɛ tɔn e fá é kpo gbè tɔn e nɔ fá kɔ nú mɛ é kpo nɔ zɔ́n bɔ è nɔ ɖó jiɖiɖe tlolo, bo nɔ lɛ́ fá kɔ nú ayi e tlɛ ɖò tagba mɛ hugǎn lɛ é."
"La tempête souffle en rafales, pliant les arbres et soulevant une mer déchaînée aux crêtes écumantes.","Jɔhɔn ɖaxó ɔ nɔ nyì ɖò jɔhɔn ɖaxó mɛ, bo nɔ bló bɔ atín lɛ nɔ kɔ́n, lobo nɔ fɔ́n xù e ɖò xixo wɛ é ɖé jǐ, bɔ jǐ tɔn lɛ nɔ ɖò kɔ́fu tɔ́n wɛ."
"Ce roman policier, au suspense haletant et aux multiples rebondissements, se dévore d'une traite.","Wema hwɛhuhu tɔn elɔ, kpo nǔ e nɔ hɛn mɛ blí lɛ é kpo, kpodo xóta tɔn e nɔ hɛn nǔ gblé dó mɛ wu lɛ é gègě kpo, nyí wema ɖé bo nɔ lilɛ wema lɛ tawun."
"L'atelier de l'artiste, encombré de toiles et de tubes de peinture, est un véritable capharnaüm créatif.","Nǔɖetɔ́ ɔ sín azɔ̌xɔsa ɔ, ee mɛ è gɔ́ avɔkanfún lɛ kpo sɛ̌n sín tuto lɛ kpo ɖè é nyí nǔɖiɖó ɖé bo nɔ hɛn nǔ gblé dó mɛ wu tawun."
"Le brouillard matinal enveloppe la campagne d'un voile ouaté, assourdissant les bruits et estompant les contours.","Ahún e ɖò zǎnzǎn é nɔ sɔ́ avɔ e bɔkun é ɖé dó cyɔn gletoxo ɔ jí, bo nɔ xò gbè lɛ kpò, lobo nɔ lɛ́ bló bɔ ɖiɖe lɛ nɔ cí mɔ̌to ɖɔhun."
"Un petit ruisseau cristallin serpente dans la prairie, son clapotis apportant une note de fraîcheur.","Tɔsisa kpɛví e nɔ kɔ́n cí kristalu ɖɔhun é ɖé ɖò xixo wɛ gbɔn gbehan ɔ mɛ, bɔ xóɖiɖɔ tɔn nɔ gɔ́ hlɔnhlɔn ɖé nú mɛ."
Son caractère impulsif et ses emportements soudains contrastent avec sa grande générosité naturelle.,Lee é nɔ yawu xò nǔ kpɔ́n gbɔn é kpo lee é nɔ xò nǔ kpɔ́n ajijimɛ gbɔn é kpo gbɔn vo nú nǔnina ɖaxó e é nɔ na mɛ ɖò jɔwamɔ linu é.
"La robe de soirée, en soie ivoire, épouse ses formes avec élégance et fluidité.","Gbadanu awu ɔ, e è sɔ́ ajinakúɖú dó bló na é nɔ kplasíkɔnu kɔ́ tɔn lɛ kpo ɖɛkpɛ kpo bo nɔ lɛ́ cí sìn ɖɔhun."
"Le ciel nocturne, loin de la pollution lumineuse, offre un spectacle époustouflant de milliers d'étoiles.",Jinukúnsin zǎnmɛ tɔn e lín dó weziza e nɔ hɛn nǔ kwiji lɛ é wu é nɔ na sunví afatɔ́n mɔkpan sín nǔ e nɔ jiwǔ é ɖé mɛ.
"Cet ordinateur portable, léger et puissant, est l'outil de travail idéal pour les grands voyageurs.",Laptop enɛ e fá bo lɛ́ ɖó hlɔnhlɔn é wɛ nyí azɔ̌wanú ɖagbe hugǎn e mɛ e nɔ yì tomɛ hwɛhwɛ lɛ é na zán é.
"Son parfum subtil, aux notes boisées et épicées, laisse un sillage élégant et discret.",Wǎn tɔn e ma ɖò hwlahwlá ǎ é‚ kpódó atín sínsɛ́n kpódó nǔhwɛ́nkún kpó sín wuntun lɛ‚ nɔ jó ali ɖagbeɖagbe ɖé dó bɔ é nɔ ɖò hwlahwlá.
J’ai la pêche !,Un ɖò ganji!
Je suis amoureux.,Un ɖo wanyinu mɛ.
Triste à mourir.,É blawu sɔmɔ̌ bɔ é vɛ́.
Mort de rire.,Kú nú nǔkiko.
Je suis blessé.,Un gblewu.
Détendu.,Fífá.
Serein.,Fífá.
Heureux.,Kpikpo.
J’ai la patate !,Un ɖo zo mɛ bi !
Déprimé.,Mɛ e ɖò aluwɛ mɛ é.
Soulagé.,E ɖè sín azɔ̌ tɔn mɛ.
J’ai la frousse.,Xɛsi ɖi mi.
Énervé.,Xomɛsin.
Zen.,Zen.
Je suis inquiet.,Un ɖò adohu adohu jí.
"Hier, pendant que je préparais le dîner, mon frère a soudainement téléphoné pour annoncer une grande nouvelle.","Sɔ̀ ɔ, hwenu e un ɖò gbadanu nùɖuɖu ɖa wɛ é ɔ, nɔví ce ylɔ mì ajijimɛ bo dó jla wɛn ɖaxó ɖé."
"Dès que tu auras fini de ranger ta chambre, nous irons ensemble acheter les provisions pour le week-end.","Enyi a jla xɔ towe ɖó fó tlolo ɔ, mǐ na yì xɔ nǔ e è na zán ɖò aklunɔzán gblamɛ fifó ɔ mɛ lɛ é ɖó kpɔ́."
Il faudrait que vous révisiez sérieusement ces leçons avant l'examen prévu en fin de semaine prochaine.,A ɖó na gbéjé nǔkplɔnmɛ enɛ lɛ kpɔ́n ganji cobo na bló tɛnkpɔn e è ɖó na bló ɖò aklunɔzán gbla e bɔ d’ewu é sín vivɔnu é.
"Chaque printemps, les oiseaux migrateurs reviennent construire leurs nids dans les arbres de mon jardin.",Xɛ e nɔ sɛ̀ tɛn lɛ é nɔ lɛkɔ wá bló adɔ yetɔn lɛ ɖò atín e ɖò jikpá ce mɛ lɛ é jí ɖò jǐ hwenu tɛgbɛ.
"Lorsque je suis arrivé à la gare, le train Paris-Vintimille était déjà parti depuis cinq longues minutes.","Hwenu e un wá jɔmɛhunj’ayǐtɛn ɔ é ɔ, jɔmɛhun e nɔ yì Paris-Ventimiglia é ko ɖido cɛju gaga atɔ́ɔ́n jɛ nukɔn."
Nous aurions certainement pu visiter le musée si nous n'avions pas perdu autant de temps à déjeuner.,"Mǐ sixu ko yì ba nǔ e ɖò xɔ ɔ mɛ lɛ é kpɔ́n nǔgbo, enyi mǐ ma ko hɛn hwenu gègě gblé dó ɖu nǔ ɖò hwemɛ ǎ ɔ nɛ."
Je souhaite que tu viennes me rendre visite très bientôt pour découvrir ma nouvelle maison à Lyon.,Un ɖi ɖɔ mi na wa ba mi kpɔn zaanɖe bo na mɔ xwe ce yɔyɔ ɔ ɖo Lyon.
"Demain soir, nous regarderons un film ensemble avant que les enfants ne doivent aller se coucher.","Sɔ gbadanu ɔ, mi na kpɔn fimu ɖokpo kpɔ cobɔ vi lɛ na yi mlɔn zan ji."
"Après qu'il eut expliqué longuement sa théorie, les chercheurs décidèrent de lancer une étude approfondie.","Ee é tinmɛ nǔkplɔnmɛ tɔn nú táan gegě gudo é ɔ, dobanúnǔtɔ́ lɛ wá gbeta ɔ kɔn bo na bɛ́ nǔkplɔnkplɔn gɔngɔn ɖé."
Il est indispensable que tu fasses attention en traversant cette rue particulièrement dangereuse et passante.,É ɖò taji ɖɔ a ni cɔ́ hwiɖée hwenu e a ɖò ali enɛ e jí awovinú ɖè tawun bɔ gbɛtɔ́ lɛ nɔ gbɔn é jí gbɔn wɛ é.
"Pendant les vacances, nous allions souvent nous promener sur la plage dès le lever du soleil.","Ðò xwè ɔ hwenu ɔ, hwɛhwɛ ɔ, enyi hwesivɔ tɔ́n tlolo ɔ, mǐ nɔ yì ɖi zɔnlin gbɔn xùtó."
"Pour l'année prochaine, j'aimerais que nous voyagions dans un pays dont nous ne parlons pas la langue.","Nú xwè e ja é ɔ, un jló ɖɔ mǐ ni yì tò e mɛ mǐ ma nɔ dó gbè tɔn ǎ é ɖé mɛ."
Elle aura terminé tous ses travaux universitaires avant que son professeur ne rende ses copies corrigées.,É na ko fó azɔ̌ e é wà ɖò wemaxɔmɛ ɖaxó lɛ é bǐ cobɔ mɛ̌si tɔn na lɛ́vɔ sɛ́ wema tɔn e é jlaɖó lɛ é dó.
Je te prêterai volontiers ma voiture à condition que tu promettes de la conduire avec prudence.,"Un na nya mɔ̌to ce nú we kpo xomɛhunhun kpo, enyi a d’akpá ɖɔ emi na kun ganji ɔ nɛ."
"Autrefois, les voyageurs utilisaient des cartes en papier pour se repérer sans l'aide du GPS.","Ð’ayǐ ɔ, tomɛyitɔ́ lɛ nɔ zán ɖiɖe tò tɔn e è wlan dó wema jí lɛ é dó ba ali yetɔn, GPS ma nɔ d’alɔ ye ǎ."
Nous habitons ce quartier paisible depuis que mon épouse a accepté ce poste dans cette entreprise.,Mǐ ko nɔ xá fífá tɔn enɛ mɛ sín hwenu e asì ce yí gbè nú tɛn enɛ ɖò azɔ̌xwé elɔ é.
