fon,fr
"È ka zé akɔjijɛgbá ɔ́ ɖ'ayǐ ɔ́, Mɔyízi nɔ sú xó ɖɔ: “Mawu Mavɔmavɔ, lɛ̌ kɔ wá nɔ hɛ̌nnu maxamaxa Izlayɛ́li ví lɛ́ɛ tɔn lɛ́ɛ tɛ́ntin.”","Et quand on la posait, il disait: Reviens, Éternel, aux myriades des milliers d'Israël!"
e ɖibla blo xwe we,il y a presque deux ans
"Un sixu yí gbè nú nǔagɔwaxámɛ alɔkpa ɖebǔ ǎ, ɖó é nɔ hɛn dodónu togun e ɖó linlin ɖagbe bo ɖò bǔ é tɔn gblé.","Je ne supporte pas l'injustice sous toutes ses formes, car elle détruit les fondements mêmes d'une société civilisée et harmonieuse."
Nyì alɔ nú gbɛzinzan e nɔ zɔ́n bɔ è nɔ nɔ ayǐ é.,Fuis la sédentarité.
Nù nɛ́ ɔ́ ɖé xlɛ́ ɖɔ̀ é nyí Măwù ví,Cela montre qu’il est le fils de Dieu.
Linfin ɔ ɖo funfunfunfun wɛ,La farine est en train de se répandre
nu towe ní nyí vodún,que ce que tu viens de dire se réalise
"Gɛɛcɔ́ni ví lɛ́ɛ ká yí toxo wǒ-atɔn ɖo Isakáa kpódó Acɛ́ɛ kpó, kpódó Nɛfutali kpó, kpódó akɔta vlɔ́ Manasée tɔn e ɖo Basáni ɔ́ kpó sín ayǐkúngban jí.","Les fils de Guerschon eurent par le sort treize villes des familles de la tribu d'Issacar, de la tribu d'Aser, de la tribu de Nephthali et de la demi- tribu de Manassé en Basan."
a ɖ'ewu à,y es
É xo an b’ɛ́ ɖɔ̀ kíwúngowùn,Il a sonné et cela a fait kiwungowun.
akpa ce wú sin gbuwùn,ma plaie a donné du pus en giclant
"Ée é kplá yě xwe xwé ɔ́ gbe ɔ́, xɛsi jɛ yě jí, bɔ yě ɖɔ: “Akwɛ́ e è sɔ́ dó ati mǐtɔn lɛ́ɛ mɛ azǎn nabí ɖé ɖíe ɔ́ wú wɛ è kplá mǐ xweyǐgbe. È jlǒ ná zɔn jǐ mǐtɔn, bó dó ya nú mǐ; è nǎ sɔ́ mǐ dó ɖó kannumɔ, bó ná yí tócí mǐtɔn lɛ́ɛ.”","Ils eurent peur lorsqu'ils furent conduits à la maison de Joseph, et ils dirent: C'est à cause de l'argent remis l'autre fois dans nos sacs qu'on nous emmène; c'est pour se jeter sur nous, se précipiter sur nous; c'est pour nous prendre comme esclaves, et s'emparer de nos ânes."
"Kinnikínní ví lɛ́ɛ nɔ́ ba nǔɖuɖu kpo, bó nɔ́ nɔ xovɛ́; lo ɔ́, mɛ e nɔ sú xó ylɔ́ Mawu Mavɔmavɔ lɛ́ɛ ɔ́, nǔ ɖěbǔ nɔ hwedó yě ǎ.","Venez, mes fils, écoutez-moi ! Je vous enseignerai la crainte de l'Éternel."
"Mi mε ayizεn tɔ ce, nɔ ce kpo ɖo vi εnε kpo.","Mon père, ma mère et quatre enfants ? :"
mɛ su kpɔ ɖo kutɔnu hu xɔgbonu,cotonou a plus d'habitants que porto-novo
bɔ Izlayɛ́li ví lɛ́ɛ gosín gbětótló Sinayíi tɔn mɛ. Akpɔ́kpɔ́ ɔ́ yi nɔ te ɖo gbětótló Paláni tɔn mɛ.,"Et les enfants d'Israël partirent du désert de Sinaï, selon l'ordre fixé pour leur marche. La nuée s'arrêta dans le désert de Paran."
awànná yónú jí wɛ̀ a nă nɔ̀,tu ne pourras pas tenir debout
"É ná cyɔ́n awa jǐ towe kokló vǐnɔ ɖɔhun, bɔ a nǎ mɔ tɛnmɛ ɖo awa tɔn lɛ́ɛ glɔ́. Gbejíninɔ tɔn ɔ́, ganwu wɛ, gǎglónú wɛ.","Il te couvrira de son plumage, tu trouveras un abri sous ses ailes ; sa loyauté est un grand bouclier et une cuirasse."
Xɔ ɖagbeɖagbe,Chambre cosy
Un ɖo na nɔ gɔ alɔ n'ɛ bleble,Je dois l'aider de plus en plus.
Akpakpɛkpɛkpɛ sinmɛ vovo lɛ,Papillon coloré
sὲn măwŭ,adorer dieu
E ko ya à ?,Déjà ?
xɔ̀,acheter
xɔ̀ nŭ,acheter
xwlé axì,acheter
Hanjitɔ wε,Elle est artiste
é ɖò fínɛ́ tútútú,il est là tout proche
avɔkanɖíɖé,récolte du coton
Awii ɖe lε,Des chats
Kpɛ́n e ɖò afɔ ce mɛ ajijimɛ é enɛ nɔ fɔ́n mì ɖò zǎnzǎn tɛɛn bɔ un nɔ dónu tɛnmɛ xlonɔ enɛ e zɔ́n bɔ xú ce xú é.,Cette crampe soudaine dans mon mollet me réveille en pleine nuit et je maudis cette position stupide qui a figé mon muscle.
E na nu azɔmε vi ɖagbe do azɔ tɔn wu.,Le bon élève est récompensé pour son mérite
D’áyi xomɛ̀,Prends garde.
Azɔn ɔ gble,La personne est morte
Ba kpɔn,Vérifier
"Nǔ e a nɔ xwlé mɛ lɛ é sín akpáxwé ɖagbeɖagbe lɛ nɔ zɔ́n bɔ a nɔ bló bɔ nǔ e a nɔ xwlé mɛ lɛ é nɔ sɔgbe xá mɛɖesunɔ, bo nɔ lɛ́ bló bɔ mɛ nabi e a nɔ huzu lɛ é nɔ sukpɔ́ tawun.",La segmentation fine de votre base clients permet de personnaliser vos offres et d'augmenter significativement vos taux de transformation.
hwetɛ́nu e nɔ dó lò énɛ́ ɔ́ dó,quand emploie
Zìnflú dó,Il fait sombre.
Fínu wɛ̀ un nyí,C’est d’ici que je suis.
Azɔ̆ ɖĕ a zɔ̀n mí ɔ́ un kó bló hŭn,J'ai pourtant fait le travail que tu m'avais commandé.
E lɔn jɛ lɛngbɔvi kpɛvi ɔ ji,Puis il sauta vite sur la petite chèvre.
Nyɔ̌nu kpó súnnu kpó e ɖo hɛ̌nnu yětɔn mɛ lɛ́ɛ sukpɔ́ káká bɔ yě ɖó ná ná súnnu e ná fun ahwan lɛ́ɛ adɔ̌kpo ɖě děgba ɛnɛ (3000).,"ils avaient avec eux, selon leurs générations, selon les maisons de leurs pères, trente-six mille hommes de troupes armées pour la guerre, car ils avaient beaucoup de femmes et de fils."
A ɖo ɖagbe a ?,Comment vas-tu ?
jὲ jĭ,s'ajouter
"Mi kpɔ́n nǔ e ɖo wiwa mì wɛ ɔ́, nú mi tunwun wɛ ɔ́, agbɔ̌n wɛ ná kpé mi; alɔ jɛ́n mi ná sɔ́ ɖó nu, mi ná sixú kɛ nu ǎ.","Regardez-moi, soyez étonnés, Et mettez la main sur la bouche."
e hùn bĭ,il est complètement perverti
Gbɛ̀ wɛ́ tuwùn,Dieu seul le sait.
dŏ alɔ̀ wĕmà mɛ̀,signer une lettre
"É ná sɔ́ alɔ ɖó kanlin ɔ́ ta, bó ná gbo gbe e, ɖo fí e è nɔ gbo gbe kanlin e è nɔ dó sá vɔ̌ e è nɔ dó zo lɛ́ɛ ɖe é.","Il posera sa main sur la tête de la victime, qu'il égorgera en sacrifice d'expiation dans le lieu où l'on égorge les holocaustes."
ayibaɖabaɖanɔ wɛ nú wè,tu as une drôle d'idée
nŭ e hɛn ɔ́ e na kó lín ɖ'áyĭ wɛ̀,c'était à prévoir
enyí mɛɖé hù mɛ ɔ́ e nà ɖó hwɛ n'í,et si quelqu'un tue il en répondra au tribunal
"Alɔví tɔn lɛ nɔ xò cávi lɛ zlɛ bo nɔ xò nǔ ǎ, lee mɛɖé nɔ xò nǔ kpɔ́n cobo nɔ yí wǎn nú mɛ gbɔn é ɖɔhun.","Ses doigts effleuraient les touches sans jouer, comme on hésite avant d’aimer."
Ajɔ tɛ́ é ná mɔ́ yí ?,Quelle récompense recevra-t-il ?
lansɔji,secteur réservé à la viande
lansɔnu,secteur réservé à la viande
È na cɛ nu we nu mɛylɔwema ɔ.,Merci pour l'invitation.
Jinukún kó myá gò ɖò gle mɛ̀,Le grain est déjà mûr dans le champ.
Mi ɖo ali d'asa wε,Nous traversons la route .
Gan e nɔ gan ɛ,Il faut qu'il soit soutenu.
Vi yetɔn,Leur enfant
Un jɛ te siso ɔ ji,Je descends la montagne.
"Mi ma táfú mɛ ɖo hwɛ nukɔn ó, mi ma kpɔ́n mɛ nukúnta dó ɖɔ hwɛ ó, mi ma yí nǔ ɖu bó dó hwɛ agɔ ó, ɖó nǔ ɖu ɖo nǔ mɛ nɔ́ tɔ́n nukún nǔnywɛ́tɔ́ lɛ́ɛ, bɔ mɛ e hwɛ tɔn nyɔ́ é nɔ́ kú hwɛ.","Tu ne porteras atteinte à aucun droit, tu n'auras point égard à l'apparence des personnes, et tu ne recevras point de présent, car les présents aveuglent les yeux des sages et corrompent les paroles des justes."
Gbɔjɛ gɔngɔn sín azɔ̌ lɛ kpinkplɔn sixu d’alɔ bɔ è na ɖu ɖò adohu adohu jí lobo na lɛ́vɔ ɖó fífá ayi mɛ tɔn.,Pratiquer des exercices de respiration profonde peut aider à gérer l'anxiété et à retrouver un état de calme intérieur.
E tuun ɖee e na bo gbɔn ɔ a,Elle n'a pas le choix
axi bɛ́ agbàn,le marché est terminé
è,la
i,la
Azàn ɔ̀ sún,Le jour prévu est reporté à une date ultérieure.
Sɔ́ ɖagbeninɔ.,Choisis le bien-être.
Yìnyì xɛsinɔ,Ombre menaçante
Sun wewe wε ɖo xwe ɖokpo mε.,Une année compte 12 mois
E sɔ́ wèmá ɔ́ nyí dó távo jí,Il a lancé le livre sur la table.
E kan byɔ Ahwlikpɔnuwa ɖɔ :,On demande à Ahwhkponuwà si elle est venue au marché. - La question que tu me poses te remplit-elle le ventre ?
Axi wɛ e wa aji ? Nukanbyɔ xo wε nɔ gɔ nu we à ?,On demande à Ahwhkponuwà si elle est venue au marché. - La question que tu me poses te remplit-elle le ventre ?
gbɔjɛ́,repose-toi
kpɛn ɔ myá ganjí ă é kpa hlè,la papaye n'est pas bien mûre
a ɖo zingbidi ɖe se wε,tu entends des bruits bizarres
nú ali yì gbɛgbónú ɔ́ un na yí mɔ̀ sɛ́,si
E xɔ lan,Il a acheté de la viande
é nyɔ́ nukún tɔ́n mɛ̀,cela lui semble bon
yè kplé lɛ́lɛ̀ dó atín ɔ́,ils sont rassemblés autour de l'arbre
E blo mε ɖe se ɔ ɖɔhun.,Elle faisait semblant d'écouter
e yi wan nu we ă,il ne t'aime pas
lobo,ɖ
"Énɛ́ ɔ́, Mawu Mavɔmavɔ ɖɔ nú Mɔyízi ɖɔ: “Káká jɛ hwetɛ́nu wɛ mi ná gɔn nǔ e un ɖɔ lɛ́ɛ wa dó? Káká jɛ hwetɛ́nu wɛ mi ná gɔn sɛ́n ce lɛ́ɛ nyi?",Alors l'Éternel dit à Moïse: Jusques à quand refuserez-vous d'observer mes commandements et mes lois?
e kpò kpɛɖé sunzan élɔ́ ná fó,ce mois va bientôt finir
Nǔ ɖebǔ sixu ɖè hwɛjijɔ nú ajɔ̌wiwa mɔhun e nɔ klán gbè xá walɔ ɖagbe hugǎn lɛ é gbeɖé ǎ.,Rien ne pourra jamais justifier de telles pratiques commerciales contraires à l'éthique la plus élémentaire.
É vɛ́ takín háá,C’est trop pimenté.
A jlá nù lɛ́ bì ɖó,Tu as mis tout en ordre.
Akpa tɔn kínkɔ́n,Sa plaie s'est écorchée.
Azɔ̌mɛzɔ́wiwa ɖagbe hugǎn ɔ ɖò taji tawun bo na dó glɔ́n ali nú azɔn e nɔ hɛn xú lɛ gblé lɛ é ɖi carpal tunnel syndrome.,Une ergonomie optimale du poste de travail est fondamentale pour prévenir les troubles musculosquelettiques comme le syndrome du canal carpien.
"É hwe bǐ ɔ, nɔ hɛn jɔhɔn gbɔn xwé towe gbè nú cɛju wǒ ayihɔngbe ayihɔngbe.",Aérez votre logement au moins dix minutes chaque jour.
"Ulíi wá, bɔ Davídi kan lě e Jowabu ɖe gbɔn ɔ́ byɔ́, bó kan lě e togun ɔ́ ɖe gbɔn ɔ́ byɔ́, lobo kan lě e ahwan ɔ́ ɖo yiyi wɛ gbɔn ɔ́ byɔ́.","Urie se rendit auprès de David, qui l'interrogea sur l'état de Joab, sur l'état du peuple, et sur l'état de la guerre."
Xomɛsin sín jɔhɔn ɖé fɔ́n ɖo ayi ce mɛ ajijimɛ.,Une vague de colère monte soudainement en moi.
e nu kaka bo ba eɖee mɛ kpo bo jɛ kɔfu mɛ bo ku,elle en but tellement qu'elle s'enivra tomba dans le verre et y mourut
"Ée yě wá ɔ́, yě yi Mɔyízi kpó Aalɔ́ɔn kpó, kpódó togun Izlayɛ́li tɔn ɔ́ bǐ kpó gɔ́n, ɖo Kadɛ́ci, ɖo gbětótló Paláni tɔn mɛ. Yě ɖǒ nǔ e yě mɔ ɖo dɔ̌n ɔ́ sín gbe nú yě bǐ, bó xlɛ́ atínsínsɛ́n to ɔ́ mɛ tɔn yě.","A leur arrivée, ils se rendirent auprès de Moïse et d'Aaron, et de toute l'assemblée des enfants d'Israël, à Kadès dans le désert de Paran. Ils leur firent un rapport, ainsi qu'à toute l'assemblée, et ils leur montrèrent les fruits du pays."
aluwɛmɛ,chagrin
"É ní ma lɔn nú un kú jɛ zɔ nú Mawu Mavɔmavɔ ó. Sɛ́mɛɖó, nyɛ mɛ e cí jɔ̌ ɖɔhun ɔ́, étɛ́wú è ka ɖo gbě ce nya wɛ? Étɛ́wú è ɖo gbě ce nya wɛ lě e è nɔ ɖo asɔklé nya wɛ gbɔn sókan mɛ sókan mɛ ɔ́ ɖɔhun mɔ̌?”","Oh ! que mon sang ne tombe pas en terre loin de la face de l'Éternel ! Carle roi d'Israël s'est mis en marche pour chercher une puce, comme on chasserait une perdrix dans les montagnes."
Un sìxú kpɔ́n mɛ́ nú wè ă,Je ne peux m'occuper de toi.
É nɔ fá kɔ nú mì.,Ça me détend.
kɔ́ didε,terre pétrie
kɔ́ nyinya,terre pétrie
atin lε ɖo ama yetɔn ba kpo wε,les arbres se dépouillent de leurs feuilles
Ɖu nu dɛdɛ.,Mange lentement.
"Énɛ́ ɔ́ wú ɔ́, mi ná kpé nukún dó xó e Mavɔmavɔ ɖɔ dó jɛ akɔ xá mi ɔ́ wú bó bló ɖ'é jí. Énɛ́ ɔ́, mi sɔ́ nǔɖé bó ná wa ɔ́, mi ná mɔ nu tɔn. Mi ná sɔ́ akɔ e Mawu jɛ xá mi é ylɔ́ nǔjɔnǔ","Vous observerez donc les paroles de cette alliance, et vous les mettrez en pratique, afin de réussir dans tout ce que vous ferez."
"Nú un ɖɔ xó fó ɔ́, mɛ ɖěbǔ nɔ mɔ nǔɖé d'é wú ǎ; xó e un ɖɔ ɔ́ nɔ́ wa ɖagbe nú yě, jǐ ja dó gle jí ɖɔhun.","Après mes discours, nul ne répliquait, Et ma parole était pour tous une bienfaisante rosée ;"
"Ényí kɛntɔ́ wá tɔ́n ahwan mi ɔ́, Mawu Mavɔmavɔ ná bló bɔ mi ná ɖu ɖo kɛntɔ́ jí. Ényí ali ɖokpó wɛ yě gbɔn bó wá tɔ́n ahwan mi ɔ́, ali tɛ́nwe wɛ yě ná hɔn gbɔn bó yi.","L'Éternel te donnera la victoire sur tes ennemis qui s'élèveront contre toi ; ils sortiront contre toi par un seul chemin, et ils s'enfuiront devant toi par sept chemins."
A ɖo na ɖɔ xo n'ε do a hεn ɔ a na yigbe nu nukanbyɔ tɔn lε.,Tu devrais lui parler parce que tu peux répondre à ses questions
wamamɔnɔnyínyí,pauvreté
wamɔnɔnyínyí,pauvreté
yamɛ̀,pauvreté
"É nɔ klán gbè xá nǔgbododó huzuhuzu tɔn ɔ ǎ, loɔ, é nɔ klán gbè xá lee è nɔ yawu sɔ́ ɛ ɖó te gbɔn é, bo ma ka ko kàn nǔ byɔ mɛ jɛ nukɔn ǎ.","Elle n'est pas contre le principe d'une réforme, mais elle s'oppose à la vitesse à laquelle on veut l'imposer, sans concertation préalable."
e nɔ́ gbá nù nú xó ă,il est franc
kɔ̀n zàlínkpɛ́n dŏ zò mɛ̀,mettre de l'encens sur le feu
"Kɛntɔ́ yětɔn lɛ́ɛ táfú yě, yě húzú alɔnugbɔ́ví yětɔn.","leurs ennemis les ont opprimés, et ils ont été humiliés sous leur main."
mi kú dó xwe yɔ̀yɔ́,bonne année
Izlayɛ́li ví súnnu abǐ nyɔ̌nu ɖěbǔ ɖó ná nɔ lɛ aga dó sɛn hun ǎ.,"Il n'y aura aucune prostituée parmi les filles d'Israël, et il n'y aura aucun prostitué parmi les fils d'Israël."
"Yaváni ɔ́, vǐ tɔn súnnu lɛ́ɛ sín nyǐkɔ ɖíe: Elica, Taasísi, Kitímu kpódó Hlodanímu kpó.","Les fils de Javan: Élischa, Tarsis, Kittim et Dodanim."
E nɔ mɔ̆,Cela suffit comme ça.
gan ɖokpo adaɖe wɛ,il est une heure trente
un ɖó ă,je n'en ai pas
vi mitɔn,votre enfant
é xwé,ils vont au
Kofi w'azɔ bo nu asi tɔn na mɔ kwɛ,Kofi a travaillé pour que sa femme ait de l'argent.
Nyaví nɛ́ ɔ́ nɔ́ sà xwexwè,Ce garçon se tient souvent à l'écart.
ɖè atán,tomber quelques gouttes de pluie
"Un gbá nɔtɛn towe nú we lo, fí e a nǎ nɔ káká sɔ́yi é!”","J'ai bâti une maison qui sera ta demeure, un lieu où tu résideras éternellement !"
Fítɛ́ a go sín ?,De quel pays es-tu ?
É sɔ gbè,C’est correct.
E hɛ̀n gàn ɔ́ gɔ́ndɔ́n,Il a tordu la barre de fer.
"Súnnu ɔ́ ná hɛn agbo e é ná dó sú hwɛ xɔ́ é ɖokpó wá nú Mawu Mavɔmavɔ ɖo goxɔ ɔ́ nukɔn, bɔ è nǎ dó sá hwɛxɔ́súsú vɔ́.","L'homme amènera pour sa faute à l'Éternel, à l'entrée de la tente d'assignation, un bélier en sacrifice de culpabilité."
Mi na kpé dó akwɛ́ élɔ́,Cet argent sera pour vous deux.
ahàn nɛ́ ɔ́ glá,cet alcool est fort
gba ɖokpo à,un paquet
E tuun nuɖe ba wɛ e ɖe o a,Elle ne savait pas ce qu'ils cherchaient.
e ɖyɔ́ awù,il a changé de vêtement
"“Din ɔ́, mi ná gbɔn Áa toxo ɔ́ mɛ, Mɔwabu dogbó ɔ́ jí dín,","Tu passeras aujourd'hui la frontière de Moab, à Ar,"
Ji lɛ nɔ hu sin nu jikpamɛ ɔ,Les pluies arrosent les jardins.
nabí wɛ́ nyí ga tɔ̀n,quelle longueur cela fait
dò,l'origine d'une chose
dò nùɖé tɔ̀n,l'origine d'une chose
Un sɔ́ ná nɔ́ xá mi gaga ɖé ă,Je ne serai plus longtemps avec vous.
‘Lìnlìn e gɔ́ngɔ́n ɖò ayi ce mɛ é nɔ wá ajijimɛ bo nɔ lɛ́ syɛn sɔmɔ̌ bɔ é nɔ yí gbɔjɛ ce tlɔlɔ.,’émotion qui submerge mon cœur est si soudaine et si violente qu’elle me coupe littéralement le souffle.
un hεn ɔ na mɔ azɔ ɖagbe,je pourrais obtenir un meilleur travail
Wlan nyikɔ towe dó wema ɔ sín ta.,Écris ton nom en haut de la feuille.
Ye na mɔ xo ɖe bɔ na ɖɔ ɖo sin towe jɛn wɛ,Elles trouveront une histoire pour parler précisément de toi.
"Mɔyízi ka ɖɔ n'i ɖɔ: “Nú un gosín gɔ̌n towe din tlóló ɔ́, un ná sa vo nú Mawu Mavɔmavɔ. É jɛ sɔ ɔ́, é ná bló bɔ hwi kpó gǎn hɔn-yitɔ́ towe lɛ́ɛ kpó, kpó togun towe kpó sɔ́ ná mɔ asɔfin lɛ́ɛ ɖě ǎ. Amɔ̌, è ma sɔ́ blɛ́ mǐ ɖě ó, è ma sɔ́ gbɛ́ ɖě ɖɔ émí kún ná jó togun ɔ́ dó nú é ná yi sá vɔ̌ nú Mawu Mavɔmavɔ ó.”","Moïse répondit: Je vais sortir de chez toi, et je prierai l'Éternel. Demain, les mouches s'éloigneront de Pharaon, de ses serviteurs et de son peuple. Mais, que Pharaon ne trompe plus, en refusant de laisser aller le peuple, pour offrir des sacrifices à l'Éternel."
e jɔ mi ɖo bo un ze foloo lε,ll m'a laissé prendre les fleurs
Mi ma nu ama mu o,Ne mangez pas de légumes frais.
E sà axivɛ́ tɔ̀n,Elle a vendu cher.
"Mawu Mavɔmavɔ ká nɔ gɔn éɖée ɖe xlɛ́ ɖo Silóo ǎ. Ɖó Silóo fínɛ́ wɛ é nɔ́ tɔ́n dó Samuwɛ́li jí ɖe, bó nɔ́ ɖɔ xó n'i.","L'Éternel continuait à apparaître dans Silo ; car l'Éternel se révélait à Samuel, dans Silo, par la parole de l'Éternel."
A nɔ mɔ nu jε mε,Tu es intelligent
Sɔ kpɛvi lɛ nɔ dan to yetɔn,Les petits ânes bougent leurs oreilles.
"Adonikámu sín vǐ lɛ́ɛ ɔ́, yě mɛ nǔwɔntɔn kanɖé koatɔ́n nukún we (667) wɛ.","les fils d'Adonikam, six cent soixante-sept ;"
hɔ̆n wùn,être effronté
hù winnyá gbò ta,être effronté
Mǐ ko ɖu nǔɖuɖu bunɔ mɔhun kpɔ́n ɖò tomɛyiyi mǐtɔn lɛ hwenu ɖò tò ɖevo mɛ ǎ.,Nous n'avions encore jamais goûté une telle spécialité culinaire lors de nos voyages à l'étranger.
Mɛ e nɔ ɖɔ xó nǔgbó ɔ́ nɔ́ zɔ́n bɔ è nɔ gbo hwɛ ganjí; mɛ e ka nɔ ɖe kúnnu agɔ ɔ́ nɔ́ zɔ́n bɔ è nɔ gbo hwɛ nyi do.,Celui qui dépose avec probité fait un rapport juste ; le faux témoin trompe.
Mi wa yi jɔhɔnmɛhunɖotɛn,On finit par se rendre à l’aéroport.
e ɖe kwin nu timati lε bo ja ye,les tomates sont épépinées et concassées
"Yě mɛ ɖokpó ɖokpó nɔ wá ná nǔ i. Yě nɔ́ hɛn nǔ e è zě kpatágan dó bló ná lɛ́ɛ kpódó ée è zě siká dó bló ná lɛ́ɛ kpó, yě nɔ́ hɛn avɔ, ahwanfunnú, nǔsáwǔ wǎnɖagbenɔ, sɔ́ kpódó sɔ́tócí kpó wá n'i. Mɔ̌ wɛ yě nɔ́ bló xwewú xwewú tɛgbɛ.","Et chacun apportait son présent, des objets d'argent et des objets d'or, des vêtements, des armes, des aromates, des chevaux et des mulets; et il en était ainsi chaque année."
xɔ towe yì jĭ,ta case est haute
Xɔntɔn lε kpe bo ɖo alɔ na e ɖe wε.,Les amis se rencontrent et se serrent la main
Un ná ɖɔ kpó ayi ce bǐ kpó ɖɔ: “Mɛ̌ ka sixú hwlɛ́n gbɛ̌dónɔ sín mɛ e hú gǎn ɛ ɔ́ lɔmɛ hwi ɖɔhun? A nɔ yí gbɛ̌dónɔ kpó wamamɔnɔ kpó sín mɛ e ɖo afú tá yě wɛ ɔ́ sí.”,"Tous mes os diront : Éternel ! qui peut, comme toi, Délivrer le malheureux d'un plus fort que lui, Le malheureux et le pauvre de celui qui le dépouille ?"
a sìgán wà nù à jló lé,tu peux faire ce que tu veux
é sú xó hawùn ɖì avùn ɖɔ́hùn,il a crié comme un chien
E má nɔ́ sé gbɔ̀,Il est impitoyable.
vɛ̆ ko,plaise au ciel que
é nɔ́ hwɛ́n sɛ́wán,il sent mauvais
Xovε sin mi.,J'ai faim
E nɔ ɖa nuɖuɖu.,Elle prépare la nourriture
"Gbɛ ce blá wǔ mɛ nya! Mawu Mavɔmavɔ, hɛn mì ɖó gbɛ lě e a ɖɔ gbɔn é.","Je suis très affligé : Seigneur, fais-moi vivre selon ta parole !"
"“A nǎ zě kasyatín dó bló távo ɖokpó ná. Ga tɔn ná ɖó mɛ̌tlu ɖokpó, gblǒ tɔn ná ɖó mɛ̌tlu vlɔ́, bɔ jǐ yiyi tɔn ná ɖó mɛ̌tlu ɖokpó é hwe ɛnɛvlɔ́ɖó.","Tu feras une table de bois d'acacia; sa longueur sera de deux coudées, sa largeur d'une coudée, et sa hauteur d'une coudée et demie."
A wli alɔ xa asijɔasi,Il a épousé une véritable femme.
"Nǔ e Davídi ɖɔ dó vɔ̌sánú-xwlémawutɔ́ lɛ́ɛ kpódó Levíi ví lɛ́ɛ kpó wú ɔ́, è gɔn ɖě bló ǎ; è blǒ káká jɛ nǔ e kan dɔkun lɛ́ɛ ɔ́ jí.","On ne s'écarta point de l'ordre du roi pour les sacrificateurs et les Lévites, ni pour aucune chose, ni pour ce qui concernait les trésors."
asú tɔ́n nɔ̀,sa belle
"“Óo! Mawu Mavɔmavɔ, flín ɖɔ un nɔ gbejí ɖo nukɔn towe, bó wa azɔ̌ kpó ayijlɔ́jlɔ́ kpó, bó bló nǔ e nɔ nyɔ́ nukún towe mɛ lɛ́ɛ.” Ée é ɖɔ mɔ̌ ɔ́, é wlí avǐ bó ya ɖasin hoho.","O Éternel! souviens-toi que j'ai marché devant ta face avec fidélité et intégrité de coeur, et que j'ai fait ce qui est bien à tes yeux! Et Ézéchias répandit d'abondantes larmes."
"Énɛ́ ɔ́ gúdo ɔ́, mi ná xwedó e wá, bɔ é ná jínjɔ́n axɔ́súzinkpo ce jí, bó ná ɖu axɔ́sú ɖó tɛn ce mɛ. É wɛ un sɔ́ bɔ é ná ɖu gǎn ɖo Izlayɛ́li togun ɔ́ kpódó Judáa togun ɔ́ kpó nu.”","Vous monterez après lui ; il viendra s'asseoir sur mon trône, et il régnera à ma place. C'est lui qui, par mon ordre, sera chef d'Israël et de Juda."
é ɖò vì xɔ́ mɛ̀,elle a accouché récemment
hùzú ami ɔ́ bì kɔ́n dó zɛ̀n ɔ́ mɛ̀,vide toute la bouteille d'huile dans la marmite
sɔ́ hè,hoqueter
"Lě e yě lɛ́ jɛ vɔ̌ e è nɔ dó zo ɔ́ xwlé Mawu jí gbɔn ɖo azǎn nukɔntɔn e ɖo xwe ɔ́ sín sun tɛ́nwegɔ́ ɔ́ gbe gbɔn ɔ́ nɛ́, có è ka tlɛ ko dó Mawu Mavɔmavɔ xwé yɔ̌yɔ́ ɔ́ do hwenɛ́nu lɔ ǎ.","Dès le premier jour du septième mois, ils commencèrent à offrir àl'Éternel des holocaustes. Cependant les fondements du temple de l'Éternel n'étaient pas encore posés."
nukɔngbeví tɔ́n wɛ̀,c'est son premier-né
Kofi wa bɔ mi yi.,Kofi est venu et nous sommes partis
Xwè atɔn ɖíe wɛ mǐ sɛ̀ tɛn yì.,Nous avons déménagé il y a trois ans.
amŭ jà,il y a de la rosée
Mi fó dessert mitɔn!,Finis ton dessert !
Awǐi dotɛ tɔn ɖé nɔ dɔ́ amlɔ ɖò fífá mɛ ɖò flɛtɛli ɔ nu.,Un chat roux dort paisiblement sur le rebord de la fenêtre.
byɔ́ asì ɖŏ tè,demander d'avance la main d'une fille
"Balaki ɖɔ nú Baláamu ɖɔ: “Ényí a ma ná dó nu yě ǎ hǔn, bó ma sɔ́ xo ɖɛ ɖě dó yě jí ó.”","Balak dit à Balaam: Ne le maudis pas, mais du moins ne le bénis pas."
dŏ xomɛsìn mɛ,agacer
Un ɖò fí kócwéé,Je suis là comme ça.
mi bo wa bo,mais venez donc
é ɖè,se porte
e hɛ́n ɛ́ vótó,il l'a écrasé
cέwún,brièvement
kéwún,brièvement
yéwún,brièvement
Bɔ Davídi sú xó bó ɖɔ: “Étɛ́! A ja axɔ́sú e Mawu Mavɔmavɔ sɔ́ ɔ́ hu gbé bɔ xɛsi ɖi we ǎ!”,David lui dit : Comment n'as-tu pas craint de porter la main sur l'oint de l'Éternel et de lui donner la mort ?
Nǔ e ɖò akwɛzinzan ɔ mɛ lɛ é ɖibla vɔ ɖò hwe enɛ nu.,Les stocks sont presque épuisés actuellement.
Mε ɖokpo na wa kpla mi.,Quelqu'un viendra vous chercher
"Afɔ ce lɛ́ɛ ɖo sísɔ́sísɔ́ wɛ, un sɔ́ nɔ́ kpankɔ́n bo nɔ sɛ̀ tɛn ǎ.","Mes jambes tremblent, je n’ose plus bouger."
hɔ̀n fεnnyέ,déterrer du manioc
