fon|fr|sentiment_final
lan ɔ́ dɛ̀ ă|la viande est tendre|2
gɛ̌nkpákpɛ, aklasú alɔkpa alɔkpa,|le milan, l'autour et ce qui est de son espèce;|0
Nɔ towe yi gbe a ? εεn.|Ta mère est d'accord ? - Oui|0
Azǎn wěwegɔ́ ɔ́ gbe ɔ́, Axila, Eyináni ví súnnu e nyí akɔta Nɛfutali tɔn sín hɛ̌nnugán ɔ́ hɛn nǔníná éyɛ́ tɔn wá.|Le douzième jour, le prince des fils de Nephthali, Ahira, fils d'Énan,|0
e ɖè akpá tɔ̀n ă|il n'a pas tenu sa promesse|1
Yi, azɔn ɖokpo jε e nɔ nɔ gbe.|Oh, allez ! On ne vit qu'une fois|2
xò zĭn|se remplir de trouble|1
É ɖò taji ɖɔ a ni cɔ́ hwiɖée hwenu e a ɖò ali enɛ e jí awovinú ɖè tawun bɔ gbɛtɔ́ lɛ nɔ gbɔn é jí gbɔn wɛ é.|Il est indispensable que tu fasses attention en traversant cette rue particulièrement dangereuse et passante.|0
Mǐ ná mɔ mi ɖò nukɔnmɛ.|À tout à l'heure.|0
Un sɔ́ sixú dɔ́ amlɔ ǎ, nǔ cikɔ nú mì.|Je n’ai pas sommeil, je suis épuisé.|1
yè bló nù ɔ́ b'ɛ́ fɛ́ wŭ|ils ont parfaitement réussi|2
Un j’ávalú wè|Je te présente mes respects.|0
É sɔ́ hwɛ kɛ ɛ ǎ, é kplɔ́n bo nɔ gbɛ̀ xá mɛslɛ́dómɛ enɛ e nɔ vɛ́ mɛ é kpowun.|Elle ne lui a pas pardonné, elle a simplement appris à vivre avec cette trahison douloureuse.|1
amaxuxò - nudidó - nudó - nudómε - nududó - vodúndídó - vodúndúdó|malédiction|1
é ɖo alɔ gɔ bi e wɛ|il demande de l'aide|1
Un jló ɖɔ un ko ko gb’akpá nú we jɛ nukɔn.|J'aurais aimé te prévenir plus tôt.|0
E hù akwɛ́ cè|Il m'a fait dépenser mon argent.|1
un ylɔ ɖo gan wo kpo ceju wo gblamε|eh bien j'ai appelé à environ dix heures moins dix|0
Un mɔ mɛ ɖò mɛ̆|J’ai vu quelqu’un tout nu.|1
byɔ̆ nŭ|demander quelque chose - mendier|0
nyà aglò mε|heurter quelqu'un de l'épaule du côté|0
nŭ a blo ɔ́ é byɔ́ bă|ce que tu as fait mérite une punition|1
Bɛ́ sín égbé ɔ́|A partir d'aujourd'hui.|0
Nuɖatɔ ɔ ɖo lan ɔ ja wε|La cuisinière hache la viande .|0
A sixu na mi code réseau Wi-Fi tɔn à ? Un sixú mɔ ɖo fí ɖěbǔ ǎ.|Pourriez-vous me donner le code d’accès au réseau Wi-Fi, je ne le trouve nulle part ?|0
có Mawu Mavɔmavɔ ɖo kpɔ́ xá ɛ, bó kɔn nyɔ̌ná tɔn dó jǐ tɔn. Mawu Mavɔmavɔ bló bɔ gankpácɔ́tɔ́ ɔ́ yí wǎn nú Jozɛ́fu.|L'Éternel fut avec Joseph, et il étendit sur lui sa bonté. Il le mit en faveur aux yeux du chef de la prison.|2
un gán ɖ'awòvínú mɛ­̀|j'ai réchappé à un accident|2
Pɛlɛ́si ví lɛ́ɛ ɖíe: Ɛslɔ́ni kpó Hamúlu kpó.|Fils de Pérets : Hetsron et Hamul.|0
Jozɛ́fu ɖɔ nú nɔví tɔn lɛ́ɛ ɖɔ: “Mi xwlé nǔ nú mì ɖɔ hwenu e Mawu ná kplá mi ɔ́, mi ná bɛ́ xú ce lɛ́ɛ sín fí hɛn yi.”|Joseph fit jurer les fils d'Israël, en disant: Dieu vous visitera; et vous ferez remonter mes os loin d'ici.|2
akpa mitɔn|votre promesse|0
adigoué gbohoun gbohoun|grosses fesses|0
Mɔyízi ka ɖɔ: “Óo! Aklúnɔ, kɛnklɛ́n bó sɛ́ mɛ ɖěvo dó!”|Moïse dit: Ah! Seigneur, envoie qui tu voudras envoyer.|0
e ɖagbe|c'est bon|0
Din e mǐ xwe agbɔ̌nnusú do ɖo kɔ́ mɛ é!|Car notre âme est abattue dans la poussière, Notre corps est attaché à la terre.|1
Yě fɔ́n gǔ dó Mɔyízi jí. Izlayɛ́li sín gǎn lɛ́ɛ kpódó tomɛxó lɛ́ɛ kpó wɛ nɔ́ ná tasyɛ́n yě. Yě mɛ afɔɖé kanɖé wǒ wɛ (250).|Ils se soulevèrent contre Moïse, avec deux cent cinquante hommes des enfants d'Israël, des principaux de l'assemblée, de ceux que l'on convoquait à l'assemblée, et qui étaient des gens de renom.|1
Un sɔ flín ă|J’ai oublié.|0
bó ɖe gbeta tɔ́n ɖɔ è nǎ jlá gbɔn Izlayɛ́li to ɔ́ bǐ mɛ, sín Bɛ̌-Ceva ɖo Tofɔligbé káká yi Dan ɖo Totaligbé, bónú mɛ bǐ ná wá Jeluzalɛ́mu bó ná ɖu Dǐndínwáyixwe ɔ́ dó Mawu Mavɔmavɔ, Mawu Izlayɛ́li tɔn ɔ́ tamɛ. Đó mɛ gěgé sɔ́ nɔ́ yi ɖu xwe ɔ́ lě e è wlǎn gbɔn ɔ́ ǎ.|30.5|0
E wlí zò|Il a pris feu.|1
kan ɔ́ bì hízí|les fils sont embrouillés|1
To mɛ cɛ nú wé à ?|Ton voyage a-t-il été réussi ?|0
Un zé wè d'álɔ mɛ nú Măwŭ|Je t'ai confié à Dieu.|0
asidida|mariage|0
Mawu Mavɔmavɔ wɛ ɖó acɛ bó ná hu mɛ, é wɛ ká lɛ́ ɖó acɛ bó ná hɛn mɛ ɖó gbɛ. É wɛ ɖó acɛ bo ná sɔ́ mɛ dó do gɔngɔn mɛ ɖo kúxwé; é wɛ lɛ́ ɖó acɛ bo ná fɔ́n mɛ sín kú.|L'Éternel fait mourir et il fait vivre. Il fait descendre au séjour des morts et il en fait remonter.|0
Nu ji jɔhɔn ɖe ɔ, jɔhɔn nɔ wεn aw'atin lε tɔn.|S’il y a une tempête, le vent casse les branches des arbres :|1
Bɔ un ɖɔ nú yě ɖɔ mɛ e ɖó siká lɛ́ɛ ní bɛ́ wá, bɔ yě bɛ́ nú mì, bɔ un bɛ́ kɔn nyi myɔ mɛ bɔ é húzú nyibúví élɔ́.”|Je leur ai dit: Que ceux qui ont de l'or, s'en dépouillent! Et ils me l'ont donné; je l'ai jeté au feu, et il en est sorti ce veau.|1
Mi ná tun vǐwuntín bó kpé nukún d'é wú, mi ka ná nu vɛ̌ɛn tɔn ɖě ǎ; mi ná gbɛ vǐwun lɛ́ɛ vɔ́vɔ́ ǎ, ɖó wǎnvú ná ɖu bǐ.|Tu planteras des vignes et tu les cultiveras ; et tu ne boiras pas devin et tu ne feras pas de récolte, car les vers la mangeront.|1
kì - tì|bourrer|0
Mawu mǐtɔn ɖɔhun we ɖe ǎ, Mawu Mavɔmavɔ wɛ, Mawu mǐtɔn wɛ nyí awǐnnya ɖokpó e mǐ ɖǒ é.|Car qui est Dieu, si ce n'est l'Éternel ? Et qui est un rocher, si ce n'est notre Dieu ?|2
é jó vì ɔ́ ɖokpónɔ́ dó nyi ayimlɔ́mlɔ́ ɖò xɔ̀ ɔ́ mɛ̀|elle laissa l'enfant seul couché dans la case|0
É jɛ sɔ ɔ́, mi ná wlí ali bo ná yi mɔ kɛntɔ́ mitɔn lɛ́ɛ. Yě ná gbɔn Tisi kpó ɔ́ jí wá, mi ná mɔ yě ɖo tɔdo ɔ́ tó, ɖo gbětótló Yeluɛli tɔn ɔ́ nukɔn.|20.16|0
e nyɔ́ xomɛ̀|il est gentil|2
mí bló ganjí|nous avons bien agi|2
Azinzɔnnɔ ɔ na mɔ nuɖuɖu zanzan elɔ.|Le malade aura à manger ce matin|0
Park ɖò gudo, é bɔkun hú.|Gare-toi en marche arrière, c'est plus simple.|0
Mawu ɖɔ: “Nǔ e nɔ́ ná wěziza lɛ́ɛ ní tíin gbɔn fí bǐ ɖo jǐnukúnsin bó ɖe kéze ɖó vo nú zǎn. Yě ná nyí wuntun ɖé bɔ è nǎ nɔ́ xwédo dó tunwun hwenu lɛ́ɛ, azǎn lɛ́ɛ kpódó xwe lɛ́ɛ kpó.|Dieu dit: Qu'il y ait des luminaires dans l'étendue du ciel, pour séparer le jour d'avec la nuit; que ce soient des signes pour marquer les époques, les jours et les années;|0
É wá sɔ́ báwún|Il est venu l’arracher d’un seul coup.|2
A nɔ ɖo wezun din !|Tu vas trop vite !|1
Fitɛ otɛli ɔ ɖe ?|Où est l’hôtel ?|0
é sù hwedénu|au revoir|0
nu vɛɛn ahan fifa elɔ|il faut boire ce vin frais|0
kpé nukún wŭ - wlĭbò|soigner|0
Un mɔ nu jε mε kpeɖe|Je comprends un peu|0
Nɔ sɔnǔ ɖò cɛju wǒ gudo!|Soyez prêts dans dix minutes !|0
É ɖu le hú lè|Elle a fait de gros bénéfices.|2
Hwezivo ɖe a|Il n'y a pas de soleil|1
É jɛ gbadanu, bɔ Jakɔ́bu lɛ́ kɔ sín gle mɛ jǎwe, bɔ Lěya tɔ́n bó yi kpé e, bó ɖɔ n'i ɖɔ: “Xɔ ce mɛ wɛ a nǎ dɔ́ égbé; un ko zé atínsínsɛ́n wǎn yíyí tɔn vǐ ce tɔn ɔ́ jó ɖ'é nu.” Jakɔ́bu ɖó xó xá ɛ zǎn énɛ́ ɔ́ mɛ.|Le soir, comme Jacob revenait des champs, Léa sortit à sa rencontre, et dit: C'est vers moi que tu viendras, car je t'ai acheté pour les mandragores de mon fils. Et il coucha avec elle cette nuit.|1
E vlɔ́n avɔ ɔ́|Elle a déplié le pagne.|0
naé cé ɖíè|voici ma mère|0
É nɔ́ wà nŭ ma lɛn kpɔ́n|Il agit sans contrôle.|1
Enyi a nɔ ɖyɔ nǔɖuɖu towe gbɔn nǔ e mɛ proteine ɖè lɛ é vovo lɛ ɖiɖó gblamɛ (atín kpo kanlin kpo) ɔ, é nɔ zɔ́n bɔ a nɔ ɖu nǔɖuɖu e nɔ na lanmɛ é bǐ mlɛ́mlɛ́.|Varier son alimentation en incluant différentes sources de protéines (végétales et animales) assure un apport complet en nutriments.|0
Ɖo un ɖo afɔɖiɖe tɔn se wε ɖo 'escalier' mε.|Car j’entends ses pas dans l’escalier|0
Hwe ɖĕvo nu|A un autre moment.|0
flán gbè|parler une langue que l'autre ne comprend pas|1
hwezivɔ ɖo kikɛn wɛ|le soleil brille|2
Énɛ́ ɔ́, Abimɛlɛ́ki ɔ́, nɔví tɔn kanɖé gban (70) e é hu, bó dó wa nǔ nyanya dó tɔ́ tɔn wú ɔ́, Mawu sú axɔ́ tɔn ɛ.|Ainsi Dieu fit retomber sur Abimélec le mal qu'il avait fait à son père,  en tuant ses soixante-dix frères,|1
blá akpa tɔn n'í|bande-lui sa plaie|0
Un ny’avalú Măwŭ|Je rends hommage à Dieu.|2
xɛsi ɖaxó|panique|1
Azinzɔnnɔ ɔ ɖo nunu wε.|Le malade boit|0
Énɛ́ ɔ́ gúdo ɔ́, tomɛxó toxo énɛ́ ɔ́ tɔn lɛ́ɛ bǐ ná klɔ́ alɔ kɔn nyi nyibúsixwɛ e è gba zogúdo ná é jí ɖo tɔ ɔ́ nu,|Tous les anciens de cette ville la plus rapprochée du cadavre laveront leurs mains sur la génisse à laquelle on a brisé la nuque dans le torrent.|0
Xomɛ ce sú|J'ai mal digéré.|1
Mɛ e ɖo sinnutɛn lɛ́ɛ kpá, bó ɖo sin má nú mɛ wɛ lɛ́ɛ ɖo azɔ̌ ɖagbe e Mawu Mavɔmavɔ wa lɛ́ɛ kpa wɛ; azɔ̌ ɖagbe e é wa nú Izlayɛ́li sín gǎn lɛ́ɛ é. Énɛ́ ɔ́, togun ɔ́ wá hɔntogbó toxo ɔ́ tɔn lɛ́ɛ jí.|Que de leur voix les archers, du milieu des abreuvoirs, Célèbrent les bienfaits de l'Éternel, Les bienfaits de son conducteur en Israël ! Alors le  peuple de l'Éternel descendit aux portes.|2
Un ɖo xó sú ylɔ́ we wɛ, wǎ hwlɛ́n mì, un ná nyi sɛ́n towe lɛ́ɛ.|Je t’invoque : sauve-moi, afin que j’observe tes préceptes !|2
E nɔ́ bóɖó è|Il le chérit.|2
Azizɔ ɔ nɔ tɔn gbɔn xwe ɔ sin xɔta mε.|La fumée s’échappe par le toit de la maison|0
un ɖo xwe ɖo|j'ai une maison au|0
lan ɔ́ bɔ̀|la viande est tendre|2
Kpodo atinkεn ɖe tε lε kpo ?|Avec quels médicaments ?|0
Ji ɔ ja zan mε|La pluie est tombée toute la nuit|0
Din ɔ́, yi ɖɔ nú togun ɔ́ ɖɔ é ní sɔ́ nǔ, bó wá kpé mì. Đe gbe n'i bónú é ní slá wǔ nú sɔ, ɖó nyɛ Mawu Mavɔmavɔ, Mawu Izlayɛ́li tɔn ɔ́, nǔ e ɖɔ nú Izlayɛ́li ví lɛ́ɛ wɛ un ɖe ɔ́ ɖíe: Dɔkun e un gbɛ́ ɖɔ mi ní ma bɛ́ ó lɛ́ɛ ɔ́, nǔ lɛ́ɛ ɖo así mitɔn. Ényí mi ma bɛ́ yě tɔ́n sín tɛ́ntin mitɔn ǎ ɔ́, mi ná sixú nɔ te ɖo kɛntɔ́ mitɔn lɛ́ɛ nukɔn ǎ.|Lève-toi, sanctifie le peuple. Tu diras : Sanctifiez-vous pour demain ;  car ainsi parle l'Éternel, le Dieu d'Israël : Il y a de l'interdit au milieu de  toi, Israël ; tu ne pourras résister à tes ennemis, jusqu'à ce que vous ayez  ôté l'interdit du milieu de vous.|1
Egbe ɔ, e ka tɔn ma ze katawunbya tɔn|Or, ce jour-là, il était sorti sans son parapluie|0
E nɔ xo su a|Il reste tranquille|0
Ahwlikpɔnuwa sɔ gogo tlεnɔ ɖo aximε bo ɖɔ ku. E ɖɔ hwi wε nyi ku nɔ.|La princesse Ahwlikpɔnuwa, en plein marché, heurte un célibataire de ses fesses rondes et lui dit merci. 'A toi plutôt les remerciements', dit l'autre|2
Nùɖé kɔ́ alɔwlíwlí ɔ́|Il existe un empêchement au mariage.|1
yɔkpɔ́ tówúntowùn wà dó gbe mì|belle jeune fille viens me saluer|2
Mawu Mavɔmavɔ ná xo ɖɛ dó vǐ e mi ná ji lɛ́ɛ, jinukún e mi ná sɔ́ lɛ́ɛ, gbɔ̌ mitɔn lɛ́ɛ, lɛ̌ngbɔ́ mitɔn lɛ́ɛ kpó nyibú mitɔn lɛ́ɛ kpó jí, bɔ yě ná sukpɔ́.|Le fruit de tes entrailles, le fruit de ton sol, le fruit de tes troupeaux, les portées de ton gros et de ton menu bétail, toutes ces choses seront bénies.|2
Ye nɔ xɔ nu, nu ye ɖo kwε ɔ|Ils achètent quand ils ont de l'argent.|0
tɔká ɔ́ syɔ́ ɖo dotɔ ɔ́ mɛ̀|le récipient s'est rempli d'eau et a plongé au fond de la citerne|0
nuɖuɖu gudo|après le manger|0
E nɔ yi wan nu gbɛtɔ ganjii|II aime bien les gens|2
E na nu ɖo fi ti ă|Il ne boira nulle part.|1
A gbɔn anakpo ɔ|Tu franchis le pont|0
cí myɔ̀|eteins le feu|0
Atin elɔ wu ganji a|Cet arbre pousse mal|1
Ye nɔ mɔ fεnnyε ɖo fi a.|On ne trouve pas de manioc ici|1
Amlɔ didó ganji nɔ zɔ́n bɔ a nɔ j’ayǐ.|Dormir suffisamment permet de récupérer.|2
Nǔ énɛ́ ɔ́ zɔ́n bɔ yě ná hlɔ̌nhlɔ́n axɔ́súɖuto Judáa tɔn ɔ́, lobo dó wǔsyɛ́n lanmɛ nú Hlobowámu Salomɔ́ɔ ví ɔ́ káká nú xwe atɔn, ɖó yě zǎn gbɛ yětɔn Davídi kpódó Salomɔ́ɔ kpó ɖɔhun hwenɛ́nu.|Ils donnèrent ainsi de la force au royaume de Juda, et affermirent Roboam, fils de Salomon, pendant trois ans; car ils marchèrent pendant trois ans dans la voie de David et de Salomon.|2
kú d'ayíjínjɔn|salut à celui qui est assis|2
flí nŭ dó mε|céder une chose à vil prix|1
Vlɔ̀ ɖó wè|Divise en deux.|0
E cí cuù|Il est resté pensif.|0
e nɔ́ sin xomɛ dó wùvɔ́|il se fâche pour rien|1
É kló bó ɖò jogiì|Il est gros et très grand.|0
Adáma, Hlama, Hasɔ́ɔ,|Adama, Rama, Hatsor,|0
Năwe élɔ́ nɔ́ xo jasísí dó mɛ dín|Cette femme est très entreprenante pour circonvenir les gens.|1
Un ɖó ná mɔ́ wè dandàn|Je dois te voir obligatoirement.|0
Wǔsláslá zozo sixu d’alɔ bɔ è na ɖè linkpɔ́n kpò.|Une douche chaude peut aider à soulager le stress.|2
mi jɛ kpòlí|vous vous êtes agenouillés|0
Mɛ elɔ ɔ atavi ce sin vi ɖie|Et celui-là aussi, c'est mon oncle.|0
Nǔ e sɔgbe é.|Le geste juste.|2
Jinukúnsin e mɛ sunví lɛ ɖè é|Ciel étoilé|0
Nǔjíkpɔ́ntɔ́ ɔ́ ká ɖɔ nú yě ɖɔ: “Ayi mitɔn ní jɛ ayǐ; mi ma ɖi xɛsi ó. Mawu mitɔn, Mawu tɔ́gbó mitɔn tɔn ɔ́ wɛ zé dɔkun dó ati mitɔn lɛ́ɛ mɛ. Nyɛ yí akwɛ́ e mi dó xɔ nǔ ná ɔ́ dó gbǎ mɛ.” Ée é ɖɔ mɔ̌ ɔ́, é yi kplá Sinmɛnyɔ́ɔ wá nú yě,|L'intendant répondit: Que la paix soit avec vous! Ne craignez rien. C'est votre Dieu, le Dieu de votre père, qui vous a donné un trésor dans vos sacs. Votre argent m'est parvenu. Et il leur amena Siméon.|2
È ɖó na kplɔ́n azɔ̌ azɔ̌watɔ́ e nɔ kpé nukún dó axisinɔ lɛ wu lɛ é bɔ ye na nɔ kpé nukún dó nǔ e è ɖɔ lɛ é wu kpo wuvɛ̌sexámɛ kpo, bo na dó sixu bló bɔ nǔ nyanya e jɛ é na huzu ali e hun nú gbejininɔ nú axisinɔ lɛ é.|Le service client doit être formé pour gérer les réclamations avec empathie et efficacité, afin de transformer une expérience négative en opportunité de fidélisation.|2
Ye ɖo bɔlu xo wε|Ils jouent au ballon|2
Nǔwanyido ɖagbeɖagbe ɖé lɛ tíìn bɔ ye nɔ hɛn susu wá hú ɖuɖeji ɖé lɛ e è ɖu ɖò awěxomɛ mɛvo é.|Il est des erreurs si nobles qu’elles honorent davantage que certaines victoires remportées sans péril.|2
Un flin ɖɔ un yi azɔmε kpodo amisa kpo ɖo fi, amɔ un yi dotoxwe ɖo fi a.|Je me souviens être allée à l'école et à l'église ici, mais pas à l'hôpital|0
Nù é ɖɔ́ é ɔ́, é hɛ̀n kàn d'é wú|Il maintient ce qu'il a dit.|0
un yi dotoo|je suis un docteur|0
Un tuun a|Je ne sais pas|0
Kú dó tagbà|Merci pour la peine que vous vous êtes donnée.|2
vĭ nabí a jì|combien d'enfants as-tu eu|0
Énɛ́ ɔ́, Dan sín vǐ lɛ́ɛ kpɔ́n súnnu e kpan akɔ́n ganjí ɖo yě mɛ lɛ́ɛ atɔ́ɔ́n bó sɔ́, bó sɛ́ yě dó sín gletoxo Soléa tɔn kpó Ɛcitawɔ́lu tɔn kpó mɛ, bó ɖɔ nú yě ɖɔ yě ní yi ba do nú to ɔ́ xéɖéxéɖé. Nya énɛ́ lɛ́ɛ wá jɛ Eflayímu sín ayǐkúngban jí ɖo sókan mɛ, bó nɔ te ɖo Mika sín xwé kpá.|Les fils de Dan prirent sur eux tous, parmi leurs familles, cinq  hommes vaillants, qu'ils envoyèrent de Tsorea et d'Eschthaol, pour  explorer le pays et pour l'examiner. Ils leur dirent : Allez, examinez le  pays. Ils arrivèrent dans la montagne d'Éphraïm jusqu'à la maison de Mica,  et ils y passèrent la nuit.|0
nu mi byɔ azɔxɔ mε ɔ mi nɔ ɖe gbakun mitɔn lε|quand nous entrons en classe nous ôtons notre chapeau|0
Mi gɔ́ wema e jí è nɔ wlan nyikɔ dó é ɖò Ɛntɛnɛti jí gbɔn fí e sunví vɔvɔ ɖé ɖè lɛ é bǐ xixo gblamɛ.|Complétez le formulaire d'inscription en ligne en renseignant obligatoirement tous les champs identifiés par un astérisque rouge.|0
mi ná yí gbe nú yě ɖɔ: ‘Kannumɔ Ejípu xɔ́sú ɔ́ tɔn wɛ mǐ nyǐ ɖ'ayǐ ɖo to tɔn mɛ, bɔ Mawu Mavɔmavɔ zé hlɔ̌nhlɔ́n tɔn e nukɔn nǔɖé má nɔ́ nɔ te ɖe ǎ é dó ɖe mǐ tɔ́n.|tu diras à ton fils : Nous étions esclaves de Pharaon en Égypte, et l'Éternel nous a fait sortir de l'Égypte par sa main puissante.|0
é sɔ́ éɖéé xlɛ́ agun ɔ́|il s'est présenté à l'assemblée|0
Enyi mǐ gbéjé nǔ e kúnkplá axisinɔ lɛ é kpɔ́n ɔ, é na zɔ́n bɔ mǐ na sɔ́ ayi ɖó nǔ e mǐ nɔ xwlé mɛ lɛ é jí ganji, bo na lɛ́ bló bɔ kancica ajɔ̌wiwa tɔn mǐtɔn na sɔgbe xá mɛɖesunɔ.|L'analyse des données clients nous permettra de mieux cibler nos offres et de personnaliser notre relation commerciale.|2
É xú céké céké|Il est bien sec.|0
a dŏ hlɔ̀nhlɔ̀n hú mì|tu es plus fort que moi|0
Nǔ e wú gɔ̌n tɔn yiyi nɔ dó xɛsi nú mì ɔ́ nɛ́; nú un ɖo nukún dó nǔ e é hɛn ɔ́, é ná wá ɔ́ mɛ kpɔ́n wɛ ɔ́, un nɔ ɖi xɛsi n'i.|Voilà pourquoi sa présence m'épouvante ; Quand j'y pense, j'ai peur de lui.|1
Etε wutu kɔ ma hu we à ?|Pourquoi n’as-tu pas soif ?|0
Sɔ̀ zănzăn, mì nà fɛ́ dó|Demain matin, nous prendrons le départ.|0
Azɔn lɛ́ fɔ́n|Il a rechuté.|1
Un nu byá fífá bɔ lanmɛ ce nɔ bló wiiìn|J’ai bu une bière fraîche et je sens un grand bien-être en moi|2
é tlú lanmɛ n'í bĭ|il est complètement abattu|1
É nɔ gɔn ali e hun n’i bɔ é na ɖɔ xó dó azɔ̌ mɛ ɖevo lɛ tɔn jí ɖò agbawungba, bo ma na xósin ɖebǔ ǎ é gbeɖé ǎ.|Elle ne manque jamais une occasion de critiquer ouvertement le travail des autres sans proposer de solutions.|1
mì kó sɛ́ kpɔ́|nous approchons de|0
yì zăn jĭ|aller en vadrouille|0
sí azɔ̀|oublier (une faute)|0
a yi wan nu mi|tu m'aimes|0
É ɖò síjá jí|Il est sur le qui-vive.|0
tɔ́ cé ɖè kɔ̀ sín wŭ yè|mon père m'a négligé|1
Un nɔ nɔ̀ blà yì axi ɔ́ kɔ̀n|J’habite près du marché.|0
é gba ta dó dò wú gawùn|il a cogné la tête sur le mur avec un choc sec|1
e nyi mɔ jɛn wɛ fitɛ azin nukɔntɔn ɔ gosin|s'il en est ainsi d'où est venu le premier oeuf|0
E syɛn|Il est puissant.|0
Un jló ná sɛ̀n éyɛ́ ɖókpó à ?|Suis-je décidé à ne servir que lui seul ?|0
Un ɖo nu ɖu wɛ ɖo gannu mɛ|Je mange dans une assiette.|0
e xo ɖɛ nu mi enɛ ɔ gudo ɔ lobɔ ku ayixa mɛ vɔ|il nous bénit alors et mourut l'âme en paix|2
dŏ adăn tamε nú mε|galvaniser quelqu'un|2
sà hùn|cérémonie de réintégration|0
Vi ɔ ɖo slasla wɛ|L'enfant a la diarrhée.|1
ye ɖo ta tɔngɔɔn bo ɖo adɔgo ɖaxo|ils ont une tête ronde et gros ventre|0
Un se nyikɔ tɔn gbɔn xo elɔ glamɛ|J'ai connu son nom par cette affaire|0
Judáa ka ɖɔ n'i ɖɔ: “Nya e nyí gǎn ɖo dɔ̌n ɔ́ ɖɔ nú mǐ tawun ɖɔ nú mǐ má kplá nɔví mǐtɔn kpɛví ɔ́ wá ǎ ɔ́, émí kún ná yí mǐ gbeɖé ó.|Juda lui répondit: Cet homme nous a fait cette déclaration formelle: Vous ne verrez pas ma face, à moins que votre frère ne soit avec vous.|0
nɛ̆ a ka lin gbɔ̀n|comment as-tu pensé|0
É nɔ́ y’àvĭ yoò|Il pleure à chaudes larmes.|1
un sɔ flín ă|j'ai oublié|0
wa miɖi ɖounou kpohun|allons|0
A sá atínkɛ́n dó nukúnmɛ̀ ganjí|Tu es bien fardée.|0
Nú mi ma ka jló ná sɛn Mawu Mavɔmavɔ ǎ hǔn, mi bo ɖɔ nǔ e mi ná sɛn ɔ́ bɛ́ sín égbé. É sixú nyí vodún e tɔ́gbó mitɔn lɛ́ɛ sɛn ɖ'ayǐ ɖo Efláti tɔ ɔ́ gúdo lɛ́ɛ; é ká sixú nyí vodún e Amɔliti e mɛ mi ɖe lɛ́ɛ nɔ sɛn lɛ́ɛ é. Amɔ̌, nyɛ kpó xwédo ce kpó ɔ́, Mawu Mavɔmavɔ wɛ mǐ ná sɛn.”|Et si vous ne trouvez pas bon de servir l'Éternel, choisissez  aujourd'hui qui vous voulez servir, ou les dieux que servaient vos pères au delà du fleuve, ou les dieux des Amoréens dans le pays desquels vous habitez. Moi et ma maison, nous servirons l'Éternel.|2
e wɛ́ nɔ́ kpɔ́n jĭ tɔ̀n|il est sous sa protection|0
byɔ̆ tó mὲ nú mε - sɔ́ d'é mὲ - sɔ́ dŏ é mὲ|introduire|0
nukplɔ́nmɛ tɔn nɔ kpácá yĕ|il leur enseignait de façon étonnante|2
Eεn, un xɔ nu kpεɖe|Oui, j’ai acheté un peu|0
Mi kɛnklɛn bo xwedó mì yì gǎn ɔ sín azɔ̌xɔsa.|Suis-moi jusqu'au bureau du directeur, s'il te plaît.|0
vivɛná cè|ma bien|2
É yí í d’ásí ce gannugánnú|Il me l’a arraché de force.|1
yĕ jɛ̀ kiko e jí|ils se mirent à rire de lui|1
un jɛ̀ nù mɔ́ jɛ̀ lò ɔ́ mɛ́ jí|je commence à comprendre le proverbe|2
Hwɛjijɔnɔ kɛ nu ɔ́, nǔnywɛ́ kɛ́ɖɛ́ wɛ nɔ́ tɔ́n sín nu tɔn mɛ, xó jlɔ́jlɔ́ kɛ́ɖɛ́ wɛ é nɔ́ ɖɔ.|La bouche du juste annonce la sagesse, Et sa langue proclame la justice.|2
Nyavi ɖa wiwinɔ ɔ|Le garçon aux cheveux noirs.|0
Hwi wɛ nyí bibɛtɛn ce; a nɔ lɔn nú adǎn nɔ gbo mì ǎ; un ná sú xó bó j'awǎ, ɖó alɔ e a nɔ cyɔ́n jǐ ce ɔ́ wú. Agbɔ̌n|Tu es un asile pour moi, tu me garantis de la détresse, Tu m'entoures de chants de délivrance. -Pause.|2
axi tó|aux abords du marché|0
kisέdé - sέdé|palmier à huile au fruit long et orange|0
ayìkúngbán nyí sìn|la terre est mouillée|0
mi bo ma sin xomɛ o|ne vous énervez pas|0
Tɔ mitɔn sin ahɔn mε sun wε a ?|Votre père est-il chauve ?|0
Din ɔ́, è nǎ ɖo mɛ hu wɛ ɖo xwé towe gbe tɛgbɛ, ɖó a ké ya ɖěbǔ nú mì ǎ, ɖó a yǐ Ulíi Hitíti ɔ́ sín asi bo da.|Maintenant, l'épée ne s'éloignera jamais de ta maison, parce que tu m'as méprisé, et parce que tu as pris la femme d'Urie, le Héthien, pour en faire ta femme.|1
gbɛmɛ ci kpitii|le ciel est sombre et gris|0
flín sɔ̀ gŭdò|pense à l'avenir|0
Súnsún tavo ɔ.|Efface le tableau.|0
ma tɛ́n aklunɔ mawu towe kpɔ́n ó|tu ne tenteras pas le seigneur ton dieu|0
azɔn ɔ syɛ́n|la maladie s'est aggravée|1
Sɔ́ nǔ e è nɔ zán ɖò ayihundida lɛ mɛ lɛ é bǐ ɖó xɔ e mɛ è sɔnǔ nú enɛ ɖè lɛ é mɛ ganji, enyi kplé towe fó gudo ɔ nɛ.|Rangez soigneusement tout le matériel de sport dans les casiers prévus à cet effet après la fin de votre séance.|0
